# word_frequencies.csv
word,frequency
forums,968156501
march,968056501
la,967956501
september,967856501
better,967756501
say,967656501
questions,967556501
july,967456501
yahoo,967356501
going,967256501
medical,967156501
test,967056501
friend,966956501
come,966856501
dec,966756501
server,966656501
pc,966556501
study,966456501
application,966356501
cart,966256501
staff,966156501
articles,966056501
san,965956501
feedback,965856501
again,965756501
play,965656501
looking,965556501
issues,965456501
april,965356501
never,965256501
users,965156501
complete,965056501
street,964956501
topic,964856501
comment,964756501
financial,964656501
things,964556501
working,964456501
against,964356501
standard,964256501
tax,964156501
person,964056501
below,963956501
mobile,963856501
less,963756501
got,963656501
blog,963556501
party,963456501
payment,963356501
equipment,963256501
login,963156501
student,963056501
let,962956501
programs,962856501
offers,962756501
legal,962656501
above,962556501
recent,962456501
park,962356501
stores,962256501
side,962156501
act,962056501
problem,961956501
red,961856501
give,961756501
memory,961656501
performance,961556501
social,961456501
q,961356501
august,961256501
quote,961156501
language,961056501
story,960956501
sell,960856501
options,960756501
experience,960656501
rates,960556501
create,960456501
key,960356501
body,960256501
young,960156501
america,960056501
important,959956501
field,959856501
few,959756501
east,959656501
paper,959556501
single,959456501
ii,959356501
age,959256501
activities,959156501
club,959056501
example,958956501
girls,958856501
additional,958756501
password,958656501
z,958556501
latest,958456501
something,958356501
road,958256501
gift,958156501
question,958056501
changes,957956501
night,957856501
ca,957756501
hard,957656501
texas,957556501
oct,957456501
pay,957356501
four,957256501
poker,957156501
status,957056501
browse,956956501
issue,956856501
range,956756501
building,956656501
seller,956556501
court,956456501
february,956356501
always,956256501
result,956156501
audio,956056501
light,955956501
write,955856501
war,955756501
nov,955656501
offer,955556501
blue,955456501
groups,955356501
al,955256501
easy,955156501
given,955056501
files,954956501
event,954856501
release,954756501
analysis,954656501
request,954556501
fax,954456501
china,954356501
making,954256501
picture,954156501
needs,954056501
possible,953956501
might,953856501
professional,953756501
yet,953656501
month,953556501
major,953456501
star,953356501
areas,953256501
future,953156501
space,953056501
committee,952956501
hand,952856501
cards,952756501
problems,952656501
london,952556501
washington,952456501
meeting,952356501
rss,952256501
become,952156501
interest,952056501
id,951956501
child,951856501
keep,951756501
enter,951656501
california,951556501
porn,951456501
share,951356501
similar,951256501
garden,951156501
schools,951056501
million,950956501
added,950856501
reference,950756501
companies,950656501
listed,950556501
baby,950456501
learning,950356501
energy,950256501
run,950156501
delivery,950056501
net,949956501
popular,949856501
term,949756501
film,949656501
stories,949556501
put,949456501
computers,949356501
journal,949256501
reports,949156501
co,949056501
try,948956501
welcome,948856501
central,948756501
images,948656501
president,948556501
notice,948456501
god,948356501
original,948256501
head,948156501
radio,948056501
until,947956501
cell,947856501
color,947756501
self,947656501
council,947556501
away,947456501
includes,947356501
track,947256501
australia,947156501
discussion,947056501
archive,946956501
once,946856501
others,946756501
entertainment,946656501
agreement,946556501
format,946456501
least,946356501
society,946256501
months,946156501
log,946056501
safety,945956501
friends,945856501
sure,945756501
faq,945656501
trade,945556501
edition,945456501
cars,945356501
messages,945256501
marketing,945156501
tell,945056501
further,944956501
updated,944856501
association,944756501
able,944656501
having,944556501
provides,944456501
david,944356501
fun,944256501
already,944156501
green,944056501
studies,943956501
close,943856501
common,943756501
drive,943656501
specific,943556501
several,943456501
gold,943356501
feb,943256501
living,943156501
sep,943056501
collection,942956501
called,942856501
short,942756501
arts,942656501
lot,942556501
ask,942456501
display,942356501
limited,942256501
powered,942156501
solutions,942056501
means,941956501
director,941856501
daily,941756501
beach,941656501
past,941556501
natural,941456501
whether,941356501
due,941256501
et,941156501
electronics,941056501
five,940956501
upon,940856501
period,940756501
planning,940656501
database,940556501
says,940456501
official,940356501
weather,940256501
mar,940156501
land,940056501
average,939956501
done,939856501
technical,939756501
window,939656501
france,939556501
pro,939456501
region,939356501
island,939256501
record,939156501
direct,939056501
microsoft,938956501
conference,938856501
environment,938756501
records,938656501
st,938556501
district,938456501
calendar,938356501
costs,938256501
style,938156501
url,938056501
front,937956501
statement,937856501
update,937756501
parts,937656501
aug,937556501
ever,937456501
downloads,937356501
early,937256501
miles,937156501
sound,937056501
resource,936956501
present,936856501
applications,936756501
either,936656501
ago,936556501
document,936456501
word,936356501
works,936256501
material,936156501
bill,936056501
apr,935956501
written,935856501
talk,935756501
federal,935656501
hosting,935556501
rules,935456501
final,935356501
adult,935256501
tickets,935156501
thing,935056501
centre,934956501
requirements,934856501
via,934756501
cheap,934656501
nude,934556501
kids,934456501
finance,934356501
true,934256501
minutes,934156501
else,934056501
mark,933956501
third,933856501
rock,933756501
gifts,933656501
europe,933556501
reading,933456501
topics,933356501
bad,933256501
individual,933156501
tips,933056501
plus,932956501
auto,932856501
cover,932756501
usually,932656501
edit,932556501
together,932456501
videos,932356501
percent,932256501
fast,932156501
function,932056501
fact,931956501
unit,931856501
getting,931756501
global,931656501
tech,931556501
meet,931456501
far,931356501
economic,931256501
en,931156501
player,931056501
projects,930956501
lyrics,
